bout_id	event_id	event_file	date	red	blue
rizin36-01	rizin-36	rizin-36.json	2022-07-02	タナー・ロレンツォ	Orihey
rizin36-02	rizin-36	rizin-36.json	2022-07-02	宮城寛克	吉野友規
rizin36-03	rizin-36	rizin-36.json	2022-07-02	にっせー	須田萌里
rizin36-04	rizin-36	rizin-36.json	2022-07-02	伊藤裕樹	宮城友一
rizin36-05	rizin-36	rizin-36.json	2022-07-02	村元友太郎	BJ
rizin36-06	rizin-36	rizin-36.json	2022-07-02	藤田大和	曹竜也
rizin36-07	rizin-36	rizin-36.json	2022-07-02	大雅	新田宗一朗
rizin36-08	rizin-36	rizin-36.json	2022-07-02	渡慶次幸平	岸本篤史
rizin36-09	rizin-36	rizin-36.json	2022-07-02	昇侍	ヤン・ジヨン
rizin36-10	rizin-36	rizin-36.json	2022-07-02	カイル・アグォン	山本空良
rizin36-11	rizin-36	rizin-36.json	2022-07-02	砂辺光久	中務修良
rizin36-12	rizin-36	rizin-36.json	2022-07-02	山本美憂	大島沙緒里
rizin36-13	rizin-36	rizin-36.json	2022-07-02	鈴木博昭	平本蓮
rizin37-01	rizin-37	rizin-37.json	2022-07-31	YUSHI	覇留樹
rizin37-02	rizin-37	rizin-37.json	2022-07-31	笠原弘希	石月祐作
rizin37-03	rizin-37	rizin-37.json	2022-07-31	龍聖	魁志
rizin37-04	rizin-37	rizin-37.json	2022-07-31	ヴガール・ケラモフ	山本空良
rizin37-05	rizin-37	rizin-37.json	2022-07-31	マルコス・ヨシオ・ソウザ	阿部大治
rizin37-06	rizin-37	rizin-37.json	2022-07-31	関鉄矢	中原由貴
rizin37-07	rizin-37	rizin-37.json	2022-07-31	元谷友貴	太田忍
