bout_id	event_id	event_file	date	red	blue
rizin37-08	rizin-37	rizin-37.json	2022-07-31	関根"シュレック"秀樹	スダリオ剛
rizin37-09	rizin-37	rizin-37.json	2022-07-31	RENA	アナスタシア・スヴェッキスカ
rizin37-10	rizin-37	rizin-37.json	2022-07-31	浅倉カンナ	パク・シウ
rizin37-11	rizin-37	rizin-37.json	2022-07-31	三浦孝太	フェリペ"キングハンター"マソーニ
rizin37-12	rizin-37	rizin-37.json	2022-07-31	ジョニー・ケース	武田光司
rizin37-13	rizin-37	rizin-37.json	2022-07-31	所英男	神龍誠
rizin37-14	rizin-37	rizin-37.json	2022-07-31	浜崎朱加	ジェシカ・アギラー
rizin37-15	rizin-37	rizin-37.json	2022-07-31	伊澤星花	ラーラ・フォントーラ
rizin38-01	rizin-38	rizin-38.json	2022-09-25	三浦孝太	ブンチュアイ・ポーンスーンヌーン
rizin38-02	rizin-38	rizin-38.json	2022-09-25	吉成名高	バンダサック・ソー・トラクンペット
rizin38-03	rizin-38	rizin-38.json	2022-09-25	皇治	ジジ
rizin38-04	rizin-38	rizin-38.json	2022-09-25	フロイド・メイウェザー	朝倉未来
rizin38-05	rizin-38	rizin-38.json	2022-09-25	大原樹理	ルイス・グスタボ
rizin38-06	rizin-38	rizin-38.json	2022-09-25	萩原京平	鈴木千裕
rizin38-07	rizin-38	rizin-38.json	2022-09-25	シビサイ頌真	カルリ・ギブレイン
rizin38-08	rizin-38	rizin-38.json	2022-09-25	扇久保博正	キム・スーチョル
rizin38-09	rizin-38	rizin-38.json	2022-09-25	浜崎朱加	パク・シウ
rizin38-10	rizin-38	rizin-38.json	2022-09-25	伊澤星花	アナスタシア・スヴェッキスカ
rizin38-11	rizin-38	rizin-38.json	2022-09-25	堀口恭司	金太郎
rizin39-01	rizin-39	rizin-39.json	2022-10-23	REITO BRAVELY	関幸一郎
