bout_id	event_id	event_file	date	red	blue
rizin39-02	rizin-39	rizin-39.json	2022-10-23	栗秋祥梧	翔
rizin39-03	rizin-39	rizin-39.json	2022-10-23	手塚基伸	メイマン・マメドフ
rizin39-04	rizin-39	rizin-39.json	2022-10-23	中原由貴	原口央
rizin39-05	rizin-39	rizin-39.json	2022-10-23	芦田崇宏	中田大貴
rizin39-06	rizin-39	rizin-39.json	2022-10-23	梅野源治	トレント・ガーダム
rizin39-07	rizin-39	rizin-39.json	2022-10-23	阿部大治	田村ヒビキ
rizin39-08	rizin-39	rizin-39.json	2022-10-23	佐々木信治	宇佐美正パトリック
rizin39-09	rizin-39	rizin-39.json	2022-10-23	武田光司	ザック・ゼイン
rizin39-10	rizin-39	rizin-39.json	2022-10-23	矢地祐介	ボイド・アレン
rizin39-11	rizin-39	rizin-39.json	2022-10-23	スダリオ剛	ヤノス・チューカス
rizin39-12	rizin-39	rizin-39.json	2022-10-23	牛久絢太郎	クレベル・コイケ
rizin40-01	rizin-40	rizin-40.json	2022-12-31	YUSHI	中澤達也
rizin40-02	rizin-40	rizin-40.json	2022-12-31	"ブラックパンサー"ベイノア	宇佐美正パトリック
rizin40-03	rizin-40	rizin-40.json	2022-12-31	中原由貴	鈴木千裕
rizin40-04	rizin-40	rizin-40.json	2022-12-31	ジョニー・ケース	大尊伸光
rizin40-05	rizin-40	rizin-40.json	2022-12-31	元谷友貴	ホジェリオ・ボントリン
rizin40-06	rizin-40	rizin-40.json	2022-12-31	平本蓮	梅野源治
rizin40-07	rizin-40	rizin-40.json	2022-12-31	所英男	ジョン・ドッドソン
rizin40-08	rizin-40	rizin-40.json	2022-12-31	スダリオ剛	ジュニア・タファ
rizin40-09	rizin-40	rizin-40.json	2022-12-31	井上直樹	瀧澤謙太
