bout_id	event_id	event_file	date	red	blue
rizin42-05	rizin-42	rizin-42.json	2023-05-06	岸本篤史	ビクター・コレスニック
rizin42-06	rizin-42	rizin-42.json	2023-05-06	佐々木憂流迦	ボイド・アレン
rizin42-07	rizin-42	rizin-42.json	2023-05-06	芦田崇宏	摩嶋一整
rizin42-08	rizin-42	rizin-42.json	2023-05-06	ジョン・ドッドソン	竿本樹生
rizin42-09	rizin-42	rizin-42.json	2023-05-06	三浦孝太	YA-MAN
rizin42-10	rizin-42	rizin-42.json	2023-05-06	ブアカーオ・バンチャメーク	安保瑠輝也
rizin42-11	rizin-42	rizin-42.json	2023-05-06	ホベルト・サトシ・ソウザ	スパイク・カーライル
rizin42-12	rizin-42	rizin-42.json	2023-05-06	井上直樹	フアン・アーチュレッタ
rizin42-13	rizin-42	rizin-42.json	2023-05-06	朝倉海	元谷友貴
rizin43-01	rizin-43	rizin-43.json	2023-06-24	山川賢誠	平野凌我
rizin43-02	rizin-43	rizin-43.json	2023-06-24	熊谷麻理奈	栗山葵
rizin43-03	rizin-43	rizin-43.json	2023-06-24	トレント・ガーダム	後藤丈治
rizin43-04	rizin-43	rizin-43.json	2023-06-24	関鉄矢	遠藤来生
rizin43-05	rizin-43	rizin-43.json	2023-06-24	新居すぐる	飯田健夫
rizin43-06	rizin-43	rizin-43.json	2023-06-24	大島沙緒里	ソルト
rizin43-07	rizin-43	rizin-43.json	2023-06-24	久保優太	木下カラテ
rizin43-08	rizin-43	rizin-43.json	2023-06-24	木村"フィリップ"ミノル	ロクク・ダリ
rizin43-09	rizin-43	rizin-43.json	2023-06-24	梅野源治	鈴木宙樹
rizin43-10	rizin-43	rizin-43.json	2023-06-24	鈴木博昭	西谷大成
rizin43-11	rizin-43	rizin-43.json	2023-06-24	関根"シュレック"秀樹	上田幹雄
