bout_id	event_id	event_file	date	red	blue
rizin40-10	rizin-40	rizin-40.json	2022-12-31	伊澤星花	パク・シウ
rizin40-11	rizin-40	rizin-40.json	2022-12-31	武田光司	ガジ・ラバダノフ
rizin40-12	rizin-40	rizin-40.json	2022-12-31	キム・スーチョル	フアン・アーチュレッタ
rizin40-13	rizin-40	rizin-40.json	2022-12-31	扇久保博正	堀口恭司
rizin40-14	rizin-40	rizin-40.json	2022-12-31	クレベル・コイケ	パトリシオ・ピットブル
rizin40-15	rizin-40	rizin-40.json	2022-12-31	ホベルト・サトシ・ソウザ	AJ・マッキー
rizin41-01	rizin-41	rizin-41.json	2023-04-01	進撃の祐基	木村"ケルベロス"颯太
rizin41-02	rizin-41	rizin-41.json	2023-04-01	駿	元氣
rizin41-03	rizin-41	rizin-41.json	2023-04-01	中村優作	メイマン・マメドフ
rizin41-04	rizin-41	rizin-41.json	2023-04-01	宇佐美正パトリック	キム・ギョンピョ
rizin41-05	rizin-41	rizin-41.json	2023-04-01	金太郎	石司晃一
rizin41-06	rizin-41	rizin-41.json	2023-04-01	カイル・アグォン	萩原京平
rizin41-07	rizin-41	rizin-41.json	2023-04-01	神龍誠	北方大地
rizin41-08	rizin-41	rizin-41.json	2023-04-01	ストラッサー起一	中村K太郎
rizin41-09	rizin-41	rizin-41.json	2023-04-01	ヴガール・ケラモフ	堀江圭功
rizin41-10	rizin-41	rizin-41.json	2023-04-01	皇治	芦澤竜誠
rizin42-01	rizin-42	rizin-42.json	2023-05-06	城戸康裕	木村"ケルベロス"颯太
rizin42-02	rizin-42	rizin-42.json	2023-05-06	ラマザン・テミロフ	浜本"キャット"雄大
rizin42-03	rizin-42	rizin-42.json	2023-05-06	山本琢也	横山武司
rizin42-04	rizin-42	rizin-42.json	2023-05-06	伊藤裕樹	山本アーセン
